iter	Passed	Remaining
0	1	101
1	1	91
2	2	92
3	3	91
4	4	93
5	5	93
6	6	92
7	7	90
8	8	90
9	10	90
10	11	90
11	12	90
12	13	87
13	13	84
14	14	82
15	15	80
16	16	78
17	16	76
18	17	75
19	18	74
20	19	74
21	20	73
22	21	72
23	22	71
24	23	69
25	24	68
26	25	68
27	26	67
28	27	66
29	27	64
30	28	63
31	29	62
32	30	61
33	30	59
34	31	58
35	32	58
36	33	57
37	34	56
38	35	55
39	36	54
40	37	53
41	37	51
42	38	50
43	39	50
44	40	49
45	41	48
46	42	47
47	42	46
48	43	45
49	44	44
50	45	43
51	45	42
52	46	41
53	48	40
54	48	39
55	49	39
56	50	38
57	51	37
58	52	36
59	53	35
60	54	34
61	55	34
62	56	33
63	57	32
64	58	31
65	59	30
66	59	29
67	60	28
68	61	27
69	62	26
70	63	25
71	64	25
72	65	24
73	66	23
74	67	22
75	68	21
76	69	20
77	70	19
78	71	19
79	72	18
80	73	17
81	74	16
82	75	15
83	75	14
84	76	13
85	78	12
86	78	11
87	79	10
88	80	9
89	81	9
90	82	8
91	83	7
92	84	6
93	84	5
94	85	4
95	86	3
96	87	2
97	88	1
98	88	0
99	89	0
